IMPORTANT :

This document is based on the standard data model of Sage X3 and may contain errors as it is an AI translation from images.
Throughout the document, tables are generally represented in the form XXX - YYYYYYYYYY where XXX is the abbreviated code of the table and YYYYYYYYYY is the actual code of the table in the database.
For fields, sometimes the notation AAAA: BBBBBBBBBB is used, where AAAA indicates the index code and BBBBBBBBBB indicates the field code.

This document, though assisted by AI, bears the mark of Guillaume Clément's passionate dedication, which spanned countless hours.

# COMMON DATA 1 - COMPANY AND SITES

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
SDH - SDELIVERYH | Delivery header | SDH : SDHNUM | SDELIVERYH.SDHNUM = SDELIVERYH.SRDLIN | SRD - SRETURND | Sales return detail | SRD : SHNUM & SRDLIN
SRD - SRETURND | Sales return detail | SRD : SHNUM & SRDLIN | SRETURND.SRD_SHNUM = SRETURND.SRDHNUM | SRH - SRETURN | Sales return header | SRH : SRHNUM
STJ - STOJOU | Stock journal | STJ : STOFCY & STJNUM & MVTYPE & MVIND | STOJOU.STOFCY = STOJOU.MVTYPE & STOJOU.MVIND | FCY - FACILITY | Sites | FCY : FCY
SID - SINVOICED | Bill of sale detail | SID : NUM & SDLIN | SINVOICED.SDLIN = SINVOICED.NUM | STJ - STOJOU | Stock journal | STJ : STOFCY & STJNUM & MVTYPE & MVIND
BPR - BPPARTNER | Business partner | BPR : BRPNUM | BPPARTNER.BRPNUM = BPPARTNER.BPCNUM | BPC - BPCUSTOMER | Customers | BPC : BPCNUM
TUN - TABUNIT | Table of units of measure | TUN : UOM | TABUNIT.UOM = TABUNIT.SAU | STU - STUNIT | Stock units | STU : UOM
ITS - ITMSALES | Products - sales | ITS : ITMREF | ITMSALES.ITMREF = ITMSALES.PNHNUM/PNDLIN | PND - PRETURND | Detail return | PND : PNHNUM & PNDLIN
STJ - STOJOU | Stock journal | STJ : STOFCY & STJNUM & MVTYPE & MVIND | STOJOU.STJNUM = STOJOU.SDHNUM/SDDLIN | SDD - SDELIVERYD | Delivery detail | SDD : SDHNUM & SDLIN
FCY - FACILITY | Sites | FCY : FCY | FACILITY.FCSTOFCY = FACILITY.FCSTOFCYDVL | CPY - COMPANY | Company | CPY : CPY
BPT - BPCARRIER | Carriers | BPT : BPTNUM | BPCARRIER.BPTNUM = BPCARRIER.DIE | DIE - GDIE | Dimension types | DIE : DIE
AUS - AUTLIS | Users | AUS : USR | AUTLIS.CODUSR = AUTLIS.PRSCOD | PRS - PRICSTRUCT | Price structure (cust/supp) | PRS : BPCSTO & PLISTC
SRD - SRETURND | Sales return detail | SRD : SHNUM & SRDLIN | SRETURND.VCRNUM/VCRDLIN = SRETURND.CREMEMO | BPT - BPCARRIER | Carriers | BPT : BPTNUM
CCE - CACCE | Dimensions | CCE : DIE & CCE | CACCE.CCE = CACCE.BPCORD/BPADD | BPD - BPDLVCUST | Ship-to customer | BPD : BPCNUM & ADDNUM

# SALES 7 - SALES PRICE

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
SFI - SFOOTINV | Invoicing elements | SFI0: SFINUM | INVDAT.[1..9] | PRS - PRICSTRUCT | Price structure (cost/supp) | PRS0: PLI/STC
SPR - SPREASON | Sales price list reasons | SPR0: PRIREN | PRIREN | PRS - PRICSTRUCT | Price structure (cost/supp) | PRS0: PLI/STC
SPC - SPCONF | Customer pricing parameters | SPC0: PLU | PLU | SPF - SPRICFICH | Customer prices (records) | SPF0: PLU/PLCRD
SPF - SPRICFICH | Customer prices (records) | SPF0: PLU/PLCRD | PLU/PLCRD | SPL - SPPRICLIST | Customer price lists | SPL0: PLU/PLCRD
SPL - SPPRICLIST | Customer price lists | SPL0: PLU/PLCRD | PLICRID | ITM - ITMMASTER | Products | ITM0: ITMREF
SPL - SPPRICLIST | Customer price lists | SPL0: PLU/PLCRD | PLICRID | BPC - BPCUSTOMER | Customers | BPC0: BPCNUM
TCU - TABCUR | Currency table | TCU0: CUR | CUR | PRS - PRICSTRUCT | Price structure (cost/supp) | PRS0: PLI/STC
SFI - SFOOTINV | Invoicing elements | SFI0: SFINUM | INVDAT.[1..9] | PRS - PRICSTRUCT | Price structure (cost/supp) | PRS0: PLI/STC
PRS - PRICSTRUCT | Price structure (cost/supp) | PRS0: PLI/STC | PLI/STC | SPC - SPCONF | Customer pricing parameters | SPC0: PLU
PRS - PRICSTRUCT | Price structure (cost/supp) | PRS0: PLI/STC | PLI/STC | TCU - TABCUR | Currency table | TCU0: CUR
SPR - SPREASON | Sales price list reasons | SPR0: PRIREN | PRIREN | PRS - PRICSTRUCT | Price structure (cost/supp) | PRS0: PLI/STC
SPC - SPCONF | Customer pricing parameters | SPC0: PLU | PLU | SPF - SPRICFICH | Customer prices (records) | SPF0: PLU/PLCRD
SPF - SPRICFICH | Customer prices (records) | SPF0: PLU/PLCRD | PLU/PLCRD | SPL - SPPRICLIST | Customer price lists | SPL0: PLU/PLCRD
SPL - SPPRICLIST | Customer price lists | SPL0: PLU/PLCRD | PLICRID | ITM - ITMMASTER | Products | ITM0: ITMREF
SPL - SPPRICLIST | Customer price lists | SPL0: PLU/PLCRD | PLICRID | BPC - BPCUSTOMER | Customers | BPC0: BPCNUM
ITM - ITMMASTER | Products | ITM0: ITMREF | ITMREF | SPL - SPPRICLIST | Customer price lists | SPL0: PLU/PLCRD
BPC - BPCUSTOMER | Customers | BPC0: BPCNUM | BPCNUM | SPL - SPPRICLIST | Customer price lists | SPL0: PLU/PLCRD

# PURCHASE 1 - PURCHASE REQUESTS

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
AUS - AUTILIS | Users | CODUSR : USR | USR | PSH - PREQUIS | Purchase requests | PSH0 : PSHNUM
ITM - ITMMASTER | Products | ITM0 : ITMREF | ITMREF | PSH - PREQUIS | Purchase requests | PSH0 : PSHNUM
ITM - ITMMASTER | Products | ITM0 : ITMREF | ITMREF | ORD - ORDERS | Work In Progress | ORD0 : WIPNUM + ITMNUM
BPS - BPSUPPLIER | Suppliers | BPS0 : BPSNUM | BPSNUM | POH - PORDER | Purchase Orders | POH1 : POHNUM
PSH - PREQUIS | Purchase requests | PSH0 : PSHNUM | PSHNUM | PSD - PREQUISD | Purchase request detail | PSD0 : PSHNUM + PSDLIN
PSH - PREQUIS | Purchase requests | PSH0 : PSHNUM | PSHNUM | PSO - PREQUISO | Link purchase requests | PSHNUM + PSDLIN = POHNUM + POPSEQ
PSH - PREQUIS | Purchase requests | PSH0 : PSHNUM | PSHFACY | FCY - FACILITY | Sites | FCY0 : FCY
PSD - PREQUISD | Purchase request detail | PSD0 : PSHNUM + PSDLIN | PSHNUM/PSDLIN | PSO - PREQUISO | Link purchase requests | PSHNUM + PSDLIN = POHNUM + POPSEQ
POH - PORDER | Purchase Orders | POH1 : POHNUM | POHNUM | POP - PORDERP | Purchase Orders price | POP0 : POHNUM + POPLIN + POPSEQ
POH - PORDER | Purchase Orders | POH1 : POHNUM | POHNUM | POQ - PORDERQ | Purchase Orders quantities | POQ0 : POHNUM + POPLIN + POPSEQ
POH - PORDER | Purchase Orders | POH1 : POHNUM | BPSNUM | BPS - BPSUPPLIER | Suppliers | BPS0 : BPSNUM
POP - PORDERP | Purchase Orders price | POP0 : POHNUM + POPLIN + POPSEQ | POHNUM/POPSEQ | PSO - PREQUISO | Link purchase requests | PSHNUM + PSDLIN = POHNUM + POPSEQ
POQ - PORDERQ | Purchase Orders quantities | POQ0 : POHNUM + POPLIN + POPSEQ | POHNUM/POPSEQ | PSO - PREQUISO | Link purchase requests | PSHNUM + PSDLIN = POHNUM + POPSEQ
FCY - FACILITY | Sites | FCY0 : FCY | FCY | PSH - PREQUIS | Purchase requests | PSH0 : PSHNUM
ORD - ORDERS | Work In Progress | ORD0 : WIPNUM + ITMNUM | WIPNUM + ITMNUM | ITM - ITMMASTER | Products | ITM0 : ITMREF
TUN - TABUNIT | Table of units of measure | TUN0 : IUOM |  |  |  | 
CCE - CACCE | Dimensions | CCDIEF : CCE | DIE0/CCE | CAL - CPTANALIN | Analytical accounting lines | CALD0 : ARFIC + ANALIG
CAL - CPTANALIN | Analytical accounting lines | CALD0 : ARFIC + ANALIG | ARFIC + VCRNUM + VCRSEQ + CRPLINE + ANALIG | CCE - CACCE | Dimensions | CCDIEF : CCE
AUS - AUTILIS | Users | CODUSR : USR | USR | PSH - PREQUIS | Purchase requests | PSH0 : PSHNUM
ITM - ITMMASTER | Products | ITM0 : ITMREF | ITMREF | PSH - PREQUIS | Purchase requests | PSH0 : PSHNUM
ITM - ITMMASTER | Products | ITM0 : ITMREF | ITMREF | ORD - ORDERS | Work In Progress | ORD0 : WIPNUM + ITMNUM
BPS - BPSUPPLIER | Suppliers | BPS0 : BPSNUM | BPSNUM | POH - PORDER | Purchase Orders | POH1 : POHNUM
PSH - PREQUIS | Purchase requests | PSH0 : PSHNUM | PSHNUM | PSD - PREQUISD | Purchase request detail | PSD0 : PSHNUM + PSDLIN
PSH - PREQUIS | Purchase requests | PSH0 : PSHNUM | PSHFACY | FCY - FACILITY | Sites | FCY0 : FCY
PSD - PREQUISD | Purchase request detail | PSD0 : PSHNUM + PSDLIN | PSHNUM/PSDLIN | PSO - PREQUISO | Link purchase requests (Many-to-many with POH - PORDER) | PSHNUM + PSDLIN = POHNUM + POPSEQ
POH - PORDER | Purchase Orders | POH1 : POHNUM | POHNUM | POP - PORDERP | Purchase Order prices | POP0 : POHNUM + POPLIN + POPSEQ
POH - PORDER | Purchase Orders | POH1 : POHNUM | POHNUM | POQ - PORDERQ | Purchase Order quantities | POQ0 : POHNUM + POPLIN + POPSEQ
POH - PORDER | Purchase Orders | POH1 : POHNUM | BPSNUM | BPS - BPSUPPLIER | Suppliers | BPS0 : BPSNUM
POP - PORDERP | Purchase Order prices | POP0 : POHNUM + POPLIN + POPSEQ | POHNUM/POPSEQ | PSO - PREQUISO | Link purchase requests (Many-to-many with PSD - PREQUISD) | PSHNUM + PSDLIN = POHNUM + POPSEQ
POQ - PORDERQ | Purchase Order quantities | POQ0 : POHNUM + POPLIN + POPSEQ | POHNUM/POPSEQ | PSO - PREQUISO | Link purchase requests (Many-to-many with PSD - PREQUISD) | PSHNUM + PSDLIN = POHNUM + POPSEQ
FCY - FACILITY | Sites | FCY0 : FCY | FCY | PSH - PREQUIS | Purchase requests | PSH0 : PSHNUM
ORD - ORDERS | Work In Progress | ORD0 : WIPNUM + ITMNUM | WIPNUM + ITMNUM | ITM - ITMMASTER | Products | ITM0 : ITMREF
TUN - TABUNIT | Table of units of measure | TUN0 : IUOM | | (No direct link visible) | | 
CCE - CACCE | Dimensions | CCDIEF : CCE | DIE0/CCE | CAL - CPTANALIN | Analytical accounting lines | CALD0 : ARFIC + ANALIG
CAL - CPTANALIN | Analytical accounting lines | CALD0 : ARFIC + ANALIG | ARFIC + VCRNUM + VCRSEQ + CRPLINE + ANALIG | CCE - CACCE | Dimensions | CCDIEF : CCE
PSO - PREQUISO | Link purchase requests | (Composite key not directly visible) | PSHNUM + PSDLIN = POHNUM + POPSEQ | PSD - PREQUISD | Purchase request detail | PSD0 : PSHNUM + PSDLIN
PSO - PREQUISO | Link purchase requests | (Composite key not directly visible) | PSHNUM + PSDLIN = POHNUM + POPSEQ | POH - PORDER | Purchase Orders | POH1 : POHNUM
PSO - PREQUISO | Link purchase requests | (Composite key not directly visible) | PSHNUM + PSDLIN = POHNUM + POPSEQ | POP - PORDERP | Purchase Order prices | POP0 : POHNUM + POPLIN + POPSEQ
PSO - PREQUISO | Link purchase requests | (Composite key not directly visible) | PSHNUM + PSDLIN = POHNUM + POPSEQ | POQ - PORDERQ | Purchase Order quantities | POQ0 : POHNUM + POPLIN + POPSEQ

# PURCHASE 2 - REQUEST FOR QUOTATIONS

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
AUS - AUTILIS | Users | CODUSR : USR | USR | PQH - PQUOTAT | RFQs | PQH0 : PQHNUM
CCE - CACCE | Dimensions | CCDIEF : CCE | DIE0/CCE | CAL - CPTANALIN | Analytical accounting lines | CALD0 : ARFIC + ANALIG
CAL - CPTANALIN | Analytical accounting lines | CALD0 : ARFIC + ANALIG | ARFIC + VCRNUM + VCRSEQ + CRPLINE + ANALIG | CCE - CACCE | Dimensions | CCDIEF : CCE
FCY - FACILITY | Sites | FCY0 : FCY | FCY | PQH - PQUOTAT | RFQs | PQH0 : PQHNUM
PQH - PQUOTAT | RFQs | PQH0 : PQHNUM | PQHNUM | PQD - PQUOTATD | RFQ product detail | PQD0 : PQHNUM + PQDLIN
PQH - PQUOTAT | RFQs | PQH0 : PQHNUM | PQHNUM | PQF - PQUOTAF | RFQ supplier detail | PQF0 : PQHNUM + BPSNUM
PQD - PQUOTATD | RFQ product detail | PQD0 : PQHNUM + PQDLIN | PQHNUM/PQDLIN | ITM - ITMMASTER | Products | ITM0 : ITMREF
ITM - ITMMASTER | Products | ITM0 : ITMREF | ITMREF | PQD - PQUOTATD | RFQ product detail | PQD0 : PQHNUM + PQDLIN
ITM - ITMMASTER | Products | ITM0 : ITMREF | ITMREF | ITP - ITMBPS | Supplier product | ITP0 : ITMREF + BPSNUM
ITP - ITMBPS | Supplier product | ITP0 : ITMREF + BPSNUM | ITMREF/BPSNUM | PPH - PRESP | RFQ responses | PPH0 : BPSNUM + PQHNUM + PQDLIN
ITP - ITMBPS | Supplier product | ITP0 : ITMREF + BPSNUM | ITMREF/BPSNUM | BPS - BPSUPPLIER | Suppliers | BPS0 : BPSNUM
PPH - PRESP | RFQ responses | PPH0 : BPSNUM + PQHNUM + PQDLIN | BPSNUM/PQHNUM/PQDLIN | PPD - PRESPD | Detail RFQ responses | PPD0 : BPSNUM + PQHNUM + PQDLIN
BPS - BPSUPPLIER | Suppliers | BPS0 : BPSNUM | BPSNUM | PQF - PQUOTAF | RFQ supplier detail | PQF0 : PQHNUM + BPSNUM
BPS - BPSUPPLIER | Suppliers | BPS0 : BPSNUM | BPSNUM | PPH - PRESP | RFQ responses | PPH0 : BPSNUM + PQHNUM + PQDLIN
PPD - PRESPD | Detail RFQ responses | PPD0 : BPSNUM + PQHNUM + PQDLIN | BPSNUM/PQHNUM/PQDLIN | PPH - PRESP | RFQ responses | PPH0 : BPSNUM + PQHNUM + PQDLIN
PQF - PQUOTAF | RFQ supplier detail | PQF0 : PQHNUM + BPSNUM | PQHNUM/BPSNUM | PQH - PQUOTAT | RFQs | PQH0 : PQHNUM

# PURCHASE 3 - NORMAL PURCHASE ORDERS

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
AUS - AUTILIS | Users | CODUSR : USR | BUY | BPR - BPARTNER | Business partner | BPR0 : BPRNUM
BPR - BPARTNER | Business partner | BPR0 : BPRNUM | BPRNUM | BPS - BPSUPPLIER | Suppliers | BPS0 : BPSNUM
BPS - BPSUPPLIER | Suppliers | BPS0 : BPSNUM | BPSNUM | BPT - BPCARRIER | Carriers | BPT0 : BPTNUM
BPS - BPSUPPLIER | Suppliers | BPS0 : BPSNUM | BPSNUM | POH - PORDER | Purchase Orders | POH1 : POHNUM
BPS - BPSUPPLIER | Suppliers | BPS0 : BPSNUM | BPSNUM | ITM - ITMMASTER | Products | ITM0 : ITMREF
BPT - BPCARRIER | Carriers | BPT0 : BPTNUM |  | (No direct link visible) | | 
FCY - FACILITY | Sites | FCY0 : FCY | FCY | POH - PORDER | Purchase Orders | POH1 : POHNUM
ITF - ITMFACILIT | Products-sites | ITF0 : ITMREF + STOFACY | ITMREF | ITM - ITMMASTER | Products | ITM0 : ITMREF
ITF - ITMFACILIT | Products-sites | ITF0 : ITMREF + STOFACY | STOFACY | FCY - FACILITY | Sites | FCY0 : FCY
ITM - ITMMASTER | Products | ITM0 : ITMREF | ITMREF | POH - PORDER | Purchase Orders | POH1 : POHNUM
ITM - ITMMASTER | Products | ITM0 : ITMREF | ITMREF | ITF - ITMFACILIT | Products-sites | ITF0 : ITMREF + STOFACY
ITP - ITMBPS | Supplier product | ITP0 : ITMREF + BPSNUM | ITMREF | ITM - ITMMASTER | Products | ITM0 : ITMREF
ITP - ITMBPS | Supplier product | ITP0 : ITMREF + BPSNUM | BPSNUM | BPS - BPSUPPLIER | Suppliers | BPS0 : BPSNUM
POH - PORDER | Purchase Orders | POH1 : POHNUM | POHNUM | POP - PORDERP | POS price | POP0 : POHNUM + POPLIN + POPSEQ
POH - PORDER | Purchase Orders | POH1 : POHNUM | POHNUM | POQ - PORDERQ | POS quantities | POQ0 : POHNUM + POPLIN + POPSEQ
POH - PORDER | Purchase Orders | POH1 : POHNUM | BPSNUM | BPS - BPSUPPLIER | Suppliers | BPS0 : BPSNUM
POH - PORDER | Purchase Orders | POH1 : POHNUM | INVCY | FCY - FACILITY | Sites | FCY0 : FCY
POH - PORDER | Purchase Orders | POH1 : POHNUM | NUM | TPT - TABPAYTERM | Payment term table | TPT0 : PTE
POH - PORDER | Purchase Orders | POH1 : POHNUM | CUR | TCU - TABCUR | Currency table | TCU0 : CUR
POH - PORDER | Purchase Orders | POH1 : POHNUM | MDL | TMD - TABMODELIV | Delivery methods | TMD0 : MDL
POH - PORDER | Purchase Orders | POH1 : POHNUM | NUM | UOH - UPOREDER | PO history | POH0 : POHNUM + REINUM
POP - PORDERP | POS price | POP0 : POHNUM + POPLIN + POPSEQ | POHNUM/POPLIN/POPSEQ | POH - PORDER | Purchase Orders | POH1 : POHNUM
POQ - PORDERQ | POS quantities | POQ0 : POHNUM + POPLIN + POPSEQ | POHNUM/POPLIN/POPSEQ | POH - PORDER | Purchase Orders | POH1 : POHNUM
TMD - TABMODELIV | Delivery methods | TMD0 : MDL |  | (No direct link visible) | | 
TCU - TABCUR | Currency table | TCU0 : CUR | CUR | POH - PORDER | Purchase Orders | POH1 : POHNUM
TPT - TABPAYTERM | Payment term table | TPT0 : PTE | PTE | POH - PORDER | Purchase Orders | POH1 : POHNUM
UOH - UPOREDER | PO history | POH0 : POHNUM + REINUM | POHNUM/REINUM | POH - PORDER | Purchase Orders | POH1 : POHNUM
TWT - TVAT | Tax code table | TVT0 : VAT | LEG | TPR - PREASON | Purchase price reasons | TPR0 : PPIREN
PPR - PREASON | Purchase price reasons | PPR0 : PPIREN | PPIREN | STC - COSTSTCD | Cost structure - document types | STCD0 : CSTCDNUM
STC - COSTSTCD | Cost structure - document types | STCD0 : CSTCDNUM | CSTCDNUM | TSV - TOSTSTO | Cost structures - storage | TSV0 : STOCNUM + CSTNUM
SOH - SORDER | Sales orders - header | SOH0 : SONUM | SONUM | ITM - ITMMASTER | Products | ITM0 : ITMREF
TUN - TABUNIT | Table of units of measure | TUN0 : IUOM | IUOM | UOQ - UPOREDERQ | PO quantity history | POQ0 : POHNUM + LINEHNUM + POPLIN + POPSEQ
GAC - GACCOUNT | Accounts | GAC0 : ACC | ACC | CAL - CPTANALIN | Analytical accounting lines | CALD0 : ARFIC + ANALIG
CCE - CACCE | Dimensions | CCDIEF : CCE | DIE/CCE | CAL - CPTANALIN | Analytical accounting lines | CALD0 : ARFIC + ANALIG
CAL - CPTANALIN | Analytical accounting lines | CALD0 : ARFIC + ANALIG | ARFIC + VCRNUM + VCRSEQ + CRPLINE + ANALIG | CCE - CACCE | Dimensions | CCDIEF : CCE
ADI - ATADBIV | Miscellaneous tables | CODE : NUMTAB + CODE | NUMTAB/CODE | CCE - CACCE | Dimensions | CCDIEF : CCE
DUD - GACUPDATE | Open items | DUD0 : TIP + NUM + ILG |  | (No direct link visible) | | 
PVF - PVCRFOOT | Purchase orders - document footer et al. | PVF0 : VCRNUM + IND | VCRNUM/IND | PVV - PVCRVAT | Purchase documents - taxes | PVV0 : VCRNUM + IND
PVV - PVCRVAT | Purchase documents - taxes | PVV0 : VCRNUM + IND | VCRNUM/IND | PVF - PVCRFOOT | Purchase orders - document footer et al. | PVF0 : VCRNUM + IND

# PURCHASE 4 - CUMULATIVE PURCHASE ORDERS

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
POH - PORDER | POs | POHD: POHNUM | POHNUM | POC - PORDERC | Cumulative POs before returns | POCD: POHNUM, POPLIN
POH - PORDER | POs | POHD: POHNUM | POHNUM,POPLIN | POP - PORDERP | POs prices | POPD: POHNUM, POPLIN, POPSEQ
POH - PORDER | POs | POHD: POHNUM | POHNUM,POPLIN | POQ - PORDERQ | POs quantities | POQD: POHNUM, POPLIN, POQSEQ
POH - PORDER | POs | POHD: POHNUM | POHNUM | UOP - UORDERP | PO price history | UOPD: POHNUM, LINENUM, POPSEQ, UOPSEQ
POH - PORDER | POs | POHD: POHNUM | POHNUM,POPLIN | STC - COSTSTDC | Cost structure - documents | STCD: WCRNUM, VCRLIN, NUMSEQ
POH - PORDER | POs | POHD: POHNUM | POHNUM | FCY - FACILITY | Facility | FCYD: FCY
POH - PORDER | POs | POHD: POHNUM | POHNUM | BPS - BPSUPPLIER | Suppliers | BPSD: BPSNUM
POH - PORDER | POs | POHD: POHNUM | POHNUM | BPT - BPCARRIER | Carriers | BPTD: BPTNUM
POH - PORDER | POs | POHD: POHNUM | POHNUM | BPR - BPARTNER | Business partner | BPRD: BPRNUM
POH - PORDER | POs | POHD: POHNUM | POHNUM | UOH - UORDER | PO history | UOHD: POHNUM
POH - PORDER | POs | POHD: POHNUM | POHNUM | PTE | Payment term table | PTED: PTE
POH - PORDER | POs | POHD: POHNUM | POHNUM | MDL | Delivery methods | TMDD: MDL
POH - PORDER | POs | POHD: POHNUM | POHNUM | CUR | Currency table | TCUD: CUR
POH - PORDER | POs | POHD: POHNUM | POHNUM | VAT/TJ | Tax code table | TVTD: VAT + LEG
POH - PORDER | POs | POHD: POHNUM | POHNUM,POPLIN | ITM - ITMMASTER | Products | ITMD: ITMREF
POC - PORDERC | Cumulative POs before returns | POCD: POHNUM, POPLIN | POHNUM,POPLIN | POH - PORDER | POs | POHD: POHNUM
POP - PORDERP | POs prices | POPD: POHNUM, POPLIN, POPSEQ | POHNUM,POPLIN | POH - PORDER | POs | POHD: POHNUM
POP - PORDERP | POs prices | POPD: POHNUM, POPLIN, POPSEQ | POHNUM,POPLIN | PPR - PPREASON | Purchase price reasons | PPRD: PRIEN
POP - PORDERP | POs prices | POPD: POHNUM, POPLIN, POPSEQ | VATI_TJ | TVT - TABVAT | Tax code table | TVTD: VAT + LEG
POQ - PORDERQ | POs quantities | POQD: POHNUM, POPLIN, POQSEQ | POHNUM,POPLIN | POH - PORDER | POs | POHD: POHNUM
STC - COSTSTDC | Cost structure - documents | STCD: WCRNUM, VCRLIN, NUMSEQ | POHNUM,POPLIN | POH - PORDER | POs | POHD: POHNUM
FCY - FACILITY | Facility | FCYD: FCY | POHNUM | POH - PORDER | POs | POHD: POHNUM
BPS - BPSUPPLIER | Suppliers | BPSD: BPSNUM | POHNUM | POH - PORDER | POs | POHD: POHNUM
BPT - BPCARRIER | Carriers | BPTD: BPTNUM | POHNUM | POH - PORDER | POs | POHD: POHNUM
BPR - BPARTNER | Business partner | BPRD: BPRNUM | POHNUM | POH - PORDER | POs | POHD: POHNUM
UOH - UORDER | PO history | UOHD: POHNUM | POHNUM | POH - PORDER | POs | POHD: POHNUM
TPT - TABPAYTERM | Payment term table | TPTD: PTE | PTE_1 | POH - PORDER | POs | POHD: POHNUM
TMD - TABMODELIV | Delivery methods | TMDD: MDL | MDL | POH - PORDER | POs | POHD: POHNUM
TCU - TABCUR | Currency table | TCUD: CUR | POHNUM,S1 | POH - PORDER | POs | POHD: POHNUM
TVT - TABVAT | Tax code table | TVTD: VAT + LEG | POHNUM,POPLIN | POH - PORDER | POs | POHD: POHNUM
ITM - ITMMASTER | Products | ITMD: ITMREF | POHNUM,POPLIN | POH - PORDER | POs | POHD: POHNUM
UOP - UORDERP | PO price history | UOPD: POHNUM, LINENUM, POPSEQ, UOPSEQ | POHNUM | POH - PORDER | POs | POHD: POHNUM
PPR - PPREASON | Purchase price reasons | PPRD: PRIEN | POHNUM,POPLIN | POP - PORDERP | POs prices | POPD: POHNUM, POPLIN, POPSEQ

# PURCHASE 5 - PURCHASE RECEIPTS

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
STJ - STOJOU | Stock journal | STJID: STOJCY + STOJNUM + UPDCOD + MVTSEQ + PTJDAT + MYTIND | VCRNUM|VCR|LINNUM| | ITM - ITMMASTER | Products | ITMREF: ITMREF
POQ - PORQDERA | POs quantities | POQID: POHNUM + POPLIN + POOSEQ | POHNUM|POPLIN; POOSEQ | STJ - STOJOU | Stock journal | STJID: STOJCY + STOJNUM + UPDCOD + MVTSEQ + PTJDAT + MYTIND
CCE - CACCE | Dimensions | CCEID: DIE + CCE | POHNUM|POPLIN; POOSEQ | GAC - GACCOUNT | Accounts | GACID: CODA + ACC
PTD - PRECEIPTD | Detail receipts | PTDID: PTHNUM + PTDLIN | PTHNUM; PTDLIN | PTH - PRECEIPT | Receipt | PTHID: PTHNUM
PTH - PRECEIPT | Receipt | PTHID: PTHNUM | PTHNUM[6j] | PVF - PVFCOOT | Purchases documents - footer + detail + VAT | PVFID: VCRNUM + VCRTPY + IND
PVF - PVFCOOT | Purchases documents - footer + detail + VAT | PVFID: VCRNUM + VCRTPY + IND | VCRNUM; VCRTPY + IND | PTH - PRECEIPT | Receipt | PTHID: PTHNUM
BPS - BPSUPPLIER | Suppliers | BPSID: BPSNUM | BPSNUM | PTH - PRECEIPT | Receipt | PTHID: PTHNUM
BPT - BPCARRIER | Carriers | BPTID: BPTNUM | FFVNUM | PTH - PRECEIPT | Receipt | PTHID: PTHNUM
TMD - TABMDELIV | Delivery methods | TMDID: MDL | BPTNUM | BPT - BPCARRIER | Carriers | BPTID: BPTNUM

# PURCHASE 6 - PURCHASE RETURNS

Table | Table name | Primary key | Relation fields | Table linked | Table linked description | Table linked primary key
TVT - TABVAT | Tax code table | TVT0: VAT - LEG | VAT[1-N] | PTD - PRECEIPTD | Detail receipts | PTD0: PTNUM, PTD1: LIN
TCU - TABCUR | Currency table | TCU0: CUR | NETCUR, CRPCUR | PTD - PRECEIPTD | Detail receipts | PTD0: PTNUM, PTD1: LIN
PTD - PRECEIPTD | Detail receipts | PTD0: PTNUM, PTD1: LIN | PTNUM, PTD1LIN | ITM - ITMMASTER | Products | ITM0: ITMREF
PTD - PRECEIPTD | Detail receipts | PTD0: PTNUM, PTD1: LIN | PTNUM | PND - PRETURND | Detail return | PND0: PTNUM, PND1: LIN
ITM - ITMMASTER | Products | ITM0: ITMREF | ITMREF | STJ - STJOU | Stock journal | STJ0: STOFCY, STJ1: ITMREF, STJ2: PTDAT+, STJ3: MYNUMID
PND - PRETURND | Detail return | PND0: PTNUM, PND1: LIN | PTNUM | PNH - PRETURN | Returns | PNH0: PTNNUM
PNH - PRETURN | Returns | PNH0: PTNNUM | PTNNUM | BPS - BPSUPPLIER | Suppliers | BPS0: BPSNUM
PNH - PRETURN | Returns | PNH0: PTNNUM | PTNNUM | BPT - BPCARRIER | Carriers | BPT0: BPTNUM
PNH - PRETURN | Returns | PNH0: PTNNUM | PTNNUM | ADI - ATABDIV | Miscellaneous | ADI0: NUM, ADI+: CODE
PNH - PRETURN | Returns | PNH0: PTNNUM | PTNNUM | TMD - TABMODELIV | Delivery methods | TMD0: MDL
PNH - PRETURN | Returns | PNH0: PTNNUM | PTNNUM | TUN - TABUNIT | Table of units of measure | TUN0: UOM
PNH - PRETURN | Returns | PNH0: PTNNUM | PTNNUM | FCY - FACILITY | Sites | FCY0: FCY
PNH - PRETURN | Returns | PNH0: PTNNUM | PTNNUM | AUS - AUTULIS | Users | CDUSBR: USR
