    Table  	Table Abbreviation	Key	Description	Duplicates
CFGHIS  	CFH	CFH0	SCENUM+CFGVCRNUM+SYMNUM+SYMSEQ	No
CFGHIS  	CFH	CFH1	CFGVCRNUM+SCENUM+SYMNUM+SYMSEQ	No
CFGHIS  	CFH	CFH2	SCENUM+SYMSEQ+SYMNUM+CFGVCRNUM	No
CFGHISHEA  	CHH	CHH0	CFGVCRNUM	No
CFGHISHEA  	CHH	CHH1	SCENUM+CFGVCRNUM	No
CFGHISHEA  	CHH	CHH2	SCENUM+CFGBPRNUM+CFGBPRREF	Yes
CFGLNK  	CLN	CLN0	SYMTYPWUS+SYMNUMWUS+SYMTYP+SYMNUM	No
CFGLNK  	CLN	CLN1	SYMTYP+SYMNUM+SYMTYPWUS+SYMNUMWUS	No
CFGMAC  	CFM	CFM0	MACNUM+MACLIN	No
CFGMAC  	CFM	CFM1	SYMTYP+SYMNUM+MACNUM	Yes
CFGMEMO  	CME	CME0	RECCOD+SCENUM+CREUSR+CFGBPRNUM+CFGBPRREF+QSTNUM+SELSEQ	No
CFGMEMO  	CME	CME1	RECCOD+PRONUM+SCENUM+QSTNUM	Yes
CFGMENLOC  	CML	CLE	LANCHP+LANNUM+LAN	No
CFGOPTVAR  	COV	COV0	SELNUM+SELSEQ	No
CFGQST  	CQU	CQU0	QSTNUM	No
CFGQST  	CQU	CQU1	QSTORI+QSTTYP+QSTNUM	No
CFGQST  	CQU	CQU2	QSTLEN+QSTNUM	No
CFGSCE  	CSC	CSC0	SCENUM	No
CFGSCELIN  	CSL	CSL0	SCENUM+SCENUMTYP+SCENUMSEQ+SCENUMLIN	No
CFGSCELIN  	CSL	CSL1	SYMTYP+SYMNUM+SCENUM	Yes
CFGSEL  	CSE	CSE0	SELNUM	No
CFGSHA  	CSH	CSH0	SHACAT+SHANUM	No
CFGTEX  	CFT	CFT0	PRONUM+RECCOD+CODFIC+CODZON+CLE+CLE1	No
CFODUDDATE  	CFODD	CFODD0	TYP+NUM+LIG+DUDLIG	No
CFODUDDATE  	CFODD	CFODD1	FLGCLE+FCY+BPRPAY+CFODAT	Yes
CFOMANMVT  	CFOMM	CFOMM0	CFOTYP+NUM+CFOLIN	No
CFOMANMVT  	CFOMM	CFOMM1	BPRNUM+BAN	Yes
CFOMANMVT  	CFOMM	CFOMM2	BAN+BPRNUM	Yes
CFOMANMVT  	CFOMM	CFOMM3	CFOTYP+CFOSTA+CPY+FCY	Yes
CFOTYP  	CFOT	CFOT0	CPY+FCY+CFOLIN	No
CFOTYP  	CFOT	CFOT1	CPY+FCY+CFOTYP	No
CGVDET  	CGVD	CGVD0	CGVNUM+CGVTYP+CSTCOU+CSTTIM+CSTDAT+LOT+SLO	No
CHGVAL  	CGV	CGV0	CGVNUM	No
CHQBOK  	CHB	CHB0	BAN+CHQFIRNUM	No
CHQNUM  	CHN	CHN0	BAN+CHQNUM	No
CIGDEF  	CIG	CIG0	CIGCOD	No
CIGFXDSOR  	CIB	CIB0	CIGCOD+CPYSRC+REFSELCIG+AASREF	No
CIGFXDSOR  	CIB	CIB1	CIGCOD	Yes
CIGFXDSOR  	CIB	CIB2	CIGCOD+CPYSRC+REFSELCIG	Yes
CIGFXDSOR  	CIB	CIB3	CIGCOD+CPYSRC+AASREF	Yes
CIGFXDSOR  	CIB	CIB4	AASREF	Yes
CIGREX  	CIR	CIR0	CIGCOD+CPYSRC+CPYDES	No
CIGREX  	CIR	CIR1	CIGCOD+CPYSRC	Yes
CIGREX  	CIR	CIR2	CIGCOD	Yes
CIGREXSEL  	CIS	CIS0	REFSELCIG	No
CIGREXSEL  	CIS	CIS1	REFSELCIG+CPYSRC	No
CMARKETING  	CMG	CMG0	NUM	No
CMARKETING  	CMG	CMG1	DATSTR	Yes
CNSSII  	CSII	CSII0	CPY+TYPENV+EJERCICIO+PERIODO+NUM+VCRNUM+VCRNUMLIN	No
COFAWRK  	CAW	CAW0	SDHNUM+SDDLIN+LOT+COFAUID	No
COMPANY  	CPY	CPY0	CPY	No
COMPANY  	CPY	CPY1	LEG+CPY	Yes
COMREP  	COM	COM0	REP+CPY+YEA+MON	No
CONCESSION  	CCN	CCN0	CCNREF	No
CONCESSION  	CCN	CCN1	CPY+CCNREF	No
CONCESSION  	CCN	CCN2	CPY+FCY+CCNREF	No
CONTACT  	CNT	CNT0	BPATYP+BPANUM+CCNCRM	No
CONTACT  	CNT	CNT1	CCNCRM+BPATYP+BPANUM	No
CONTACT  	CNT	CNT2	CCNCRM	Yes
CONTACTCRM  	AIN	AIN0	CNTNUM	No
CONTACTCRM  	AIN	AIN1	CNTFULNAM	Yes
CONTACTCRM  	AIN	AIN2	CNTTYP+CNTNUM	No
CONTACTXT  	CNTXT	CNT0	UIDSES+BPATYP+BPANUM+CCNCRM	No
CONTAINER  	CTRH	CTRH0	CTRNUM	No
CONTAINERD  	CTRD	CTRD0	CTRNUM+CTRLIN	No
CONTAINERD  	CTRD	CTRD1	POHNUM+POPLIN+POQSEQ	Yes
CONTAINERD  	CTRD	CTRD2	CTRNUM+POHNUM+POPLIN+POQSEQ	No
CONTAINERS  	CTN	CTN0	CTN	No
CONTAMT  	CAM	CAM1	CONNUM+AMTRECNUMX	No
CONTAMTX  	CAX	CAX0	CONNUM+AMTRECNUMX+PRONUM	No
CONTCARE  	CCA	CCA0	CONNUM+TPL+CCANUM	No
CONTCOV  	CCV	CCV0	CONNUM+TPL+RECTYP+SBBRECTYP+RECNUM	Yes
CONTCOV  	CCV	CCV1	BPC+RECTYP+SBBRECTYP	Yes
CONTCOV  	CCV	CCV2	TPL+RECTYP+SBBRECTYP+CMT	Yes
CONTEXT  	CNX	CNX0	CPY+CNX	No
CONTIDX  	CIX	CIX0	IND	Yes
CONTIDX  	CIX	CIX1	IND+INDDAT	Yes
CONTITM  	CIT	CIT0	CONNUM+TPL+CONMACNUM	No
CONTITM  	CIT	CIT1	CONMACCOD	Yes
CONTPBL  	CPL	CPL0	CONNUM+TPL+PBLGRPCOV	No
CONTQUAL  	CQL	CQL0	CONNUM+TPL+GRALEV	No
CONTREW  	CRE	CRE1	CONNUM+REWRECNUMX	No
CONTREWX  	CRX	CRX0	CONNUM+REWRECNUMX+PRONUM	No
CONTSERV  	CON	CON0	CONNUM	No
CONTSERV  	CON	CON1	CONENDDAT	Yes
CONTSERV  	CON	CON2	CONBPC	Yes
CONTSERV  	CON	CON3	CONCCN	Yes
CONTSERV  	CON	CON4	CONBPC+RSIFLG+FDDFLG	Yes
CONTSERV  	CON	CON5	CONORI+CONORIVCR+CONORIVCRL	Yes
CONTSERVX  	COX	COX0	CONNUM	No
CONTTEMPL  	COT	COT0	CONNUM	No
CORREP  	COP	COP0	COPREP+COPNUM	No
CORRESPOND  	COR	COR0	CORNUM	No
COSTSTCB  	STCB	STCB0	STCNUM+STCLIN+STCLIM	No
COSTSTCB  	STCB	STCB1	STCNUM+STCLIN+MINLIM	No
COSTSTCD  	STCD	STCD0	VCRTYP+VCRNUM+VCRLIN+VCRSEQ+NUMSEQ	No
COSTSTCD  	STCD	STCD1	VCRTYP+VCRNUM+VCRLIN+FCSCOD	Yes
COSTSTCF  	STCF	STCF0	ITMREF+BPSNUM+STOFCY	No
COSTSTCF  	STCF	STCF1	ITMREF+STOFCY+BPSNUM	No
COSTSTCH  	STCH	STCH0	STCNUM	No
COSTSTCL  	STCL	STCL0	STCNUM+STCLIN	No
COSTSTCR  	STCR	STCR0	NUM+PIDLIN	No
COSTSTCR  	STCR	STCR1	TYPORI+NUMORI+LINORI+SEQORI+FCSCOD+CREDATTIM	Yes
CPTANALIN  	CAL	CAL0	ABRFIC+VCRTYP+VCRNUM+VCRLIN+VCRSEQ+CPLCLE+ANALIG	No
CPTFOOTLNK  	CFL	CAL0	ABRFIC+VCRTYP+VCRNUM+VCRLIN+VCRSEQ+CPLCLE+ANALIG	No
CRMCLOB  	CRC	CRC0	CRCNUM	No
CRMTRS  	CTR	CTR0	CTRTYP+CTRNUM	No
CRMTRS  	CTR	CTR1	CTRNUM+CTRTYP	No
CRMTRSVAL  	CTV	CTV0	CTRTYP+CTRNUM	No
CRMTRSVAL  	CTV	CTV1	CTRNUM+CTRTYP	No
CSFPARH  	CWH	CWH0	CODANY	No
CSFPARL  	CWL	CWL0	CODANY+LIG	No
CSFRES  	CWR	CWR0	NUMRPT+CODANY+LIG+CPY+FCY	No
CSFRESD  	CSRD	CSRD0	NUMRPT+NUMLIN+NUMLINDET	No
CSFRESH  	CSRH	CSRH0	NUMRPT	No
CSFRESL  	CSRL	CSRL0	NUMRPT+LIG+CPYLIN+FCYLIN+BPRNUM	No
CSFRESL  	CSRL	CSRL1	NUMRPT+NUMLIN	No
CSHWRT  	DSIIC	DSIIC0	ACCNUM+LIN	No
CSHWRT  	DSIIC	DSIIC1	NIP	Yes
CSTAXUID  	CSUID	CSUID0	LEG+CSVATUID	No
CSTAXUID  	CSUID	CSUID1	LEG	Yes
CSTAXUID  	CSUID	CSUID2	CSVATUID+LEG	No
CSVATDAA  	CSDAA	CSVATDAA0	NUMRPT+CODCSVATMAP+NUM+CSVATUID	No
CSVATMAP  	CSMAP	CSVATMAP0	CODCSVATMAP	No
CSVATMAPD  	CSMAPD	CSVATMAPD0	CODCSVATMAP+LIN	No
CSVATMAPD  	CSMAPD	CSVATMAPD1	CODCSVATMAP+CSVATUID	Yes
CTRLNIVW  	CNW	CNW0	ITMREF+BOMALT+BOMALTTYP	No
CTSWSP  	CTSW	CTSW0	CPY+NUM	No
CTSWSP  	CTSW	CTSW1	CPY+CREDATTIM	No
CUNLISDET  	CUD	CUD0	CUNSSSNUM+CUNLISNUM+ITMLISNUM	No
CUNLISDET  	CUD	CUD1	STOFCY+ITMREF+CUNLISNUM	Yes
CUNLISDET  	CUD	CUD2	STOFCY+ITMREF+LOC	Yes
CUNLISDET  	CUD	CUD3	STOFCY+CUNSSSNUM+CUNLISNUM+ITMREF	Yes
CUNLISTE  	CUL	CUL0	CUNSSSNUM+CUNLISNUM	No
CUNLISTE  	CUL	CUL1	STOFCY+CUNSSSNUM+CUNLISNUM	No
CUNSERDET  	CSD	CSD0	CUNSSSNUM+CUNLISNUM+SERSEQ+SERIND	No
CUNSESSION  	CUN	CUN0	CUNSSSNUM	No
CUNSESSION  	CUN	CUN1	STOFCY+CUNSSSNUM	No
DADCPY  	DCP	DCP0	CPY	No
DADFCY  	DFC	DFC0	FCY	No
DATEVBPACC  	DTB	DTB0	BPRNUM	No
DATEVCHRONO  	DTC	DTC0	ID	No
DATEVGLACC  	DTA	DTA0	COA+ACC	No
DATEVTAX  	DTT	DTT0	LEG+TAX	No
DCLCUSVATBE  	DLCB	DLCB0	CPY+NUMRPT+BPR+EECNUM	No
DCLCUSVATBED  	DLCBD	DLCBD0	CPY+NUMRPT+BPR+EECNUM+TYP+NUM+LIN	No
DCLEECVATBE  	DLEB	DLEB0	CPY+NUMRPT+BPR+EECNUM+OPECOD	No
DCLEECVATBED  	DLEBD	DLEBD0	CPY+NUMRPT+BPR+EECNUM+OPECOD+TYP+NUM+LIN	No
DCLINVNX3  	DSIII	DSIII0	CPY+TYPENV+GTE+VCRNUM+VCRLIN+NUM	No
DCLSII  	DSII	DSII0	CPY+TYPENV+GTE+VCRNUM+VCRLIN	No
DCLSII  	DSII	DSII1	DKEY	No
DCLSII  	DSII	DSII2	CPY+FCY+TYPENV+GTE+VCRNUM+VCRLIN	No
DCLVAT  	DLV	DLV0	CPY+FCY+STRDAT+VAT+ACC+NUMRPT	No
DCLVATAGRB  	VATAGR	VATAGR0	CPY+FIY+PER+MODEL	No
DCLVATAGRB  	VATAGR	VATAGR1	CPY+FCY+FIY+PER+MODEL	No
DCLVATBOXDBD  	DLVBD	DLVBD0	CPY+FCY+STRDAT+ACC+VATBOX+NUMRPT+TYP+NUM+LIN	No
DCLVATBOXDBD  	DLVBD	DLVBD1	CPY+NUMRPT	Yes
DCLVATBOXDBD  	DLVBD	DLVBD2	VATENTNUM+CPY+FCY+NUMRPT+ACC+VATBOX+VAT+TYP+NUM+LIN+PSTSTA	Yes
DCLVATBOXDBD  	DLVBD	DLVBD3	CPY+NUMRPT+TYP+NUM+FCY+STRDAT+ACC+VATBOX+LIN	No
DCLVATBOXH  	DLVB	DLVB0	GRPCPY+CPY+DCLVATTYP+NUMRPT+VATBOX	No
DCLVATBOXPYD  	DLVBP	DLVBP0	CPY+FCY+STRDAT+ACC+BPR+MTC+VATBOX+VAT+VATIPT+NUMRPT+TYP+NUM+LIN	No
DCLVATBOXPYD  	DLVBP	DLVBP1	VATENTNUM+CPY+FCY+NUMRPT+ACC+VATBOX+VAT+TYP+NUM+LIN+PSTSTA	Yes
DCLVATBOXPYD  	DLVBP	DLVBP2	CPY+NUMRPT	Yes
DCLVATITA  	DVI	DVI0	CPY+FCY+VATTYP+ACCDAT+NUM+VATRAT+VAT+DEDRAT	No
DCLVATITA  	DVI	DVI1	FIY+PER+VAT+VATRAT+DEDRAT	Yes
DCLVATITA2  	DV2	DV20	CPY+FCY+REGIVA+REGTYP+VAT+FIY+PER	No
DCLVATITA3  	DV3	DV30	CPY+FCY+FIY+PER	No
DCLVATPAY  	DVP	DVP0	CPY+FCY+STRDAT+ACC+BPR+MTC+VATRAT+ACCNUM	Yes
DCLVATPAY  	DVP	DVP1	ACC+BPR+MTC+VATRAT+ACCNUM+NUMRPT	No
DCLVATPORB  	DVPB	DVPB0	DCLNUM+RECTYP+NUM+LIN+DCLFLD+DCLPAG	No
DCLVATPORB  	DVPB	DVPB1	DCLNUM+DCLFLD+EECNUM	Yes
DCLVATPORB  	DVPB	DVPB2	DCLNUM+EECNUM	Yes
DCLVATPORB  	DVPB	DVPB3	DCLNUM+DCLFLD+EXPIMPVCR+EECNUM	Yes
DCLVATPORB  	DVPB	DVPB4	DCLNUM+NUM+DCLFLD	Yes
DCLVATPORF  	DVPF	DVPF0	DCLNUM+DCLPAG+DCLFLD	No
DCLVATPORH  	DVPH	DVPH0	DCLNUM	No
DCLVATPORL  	DVPL	DVPL0	DCLNUM+LINTYP+LSTLIN	No
DCLVATPORP  	DVPP	DVPP0	CPY+YEA	No
DCLVATPORT  	DVPT	DVPT0	DCLTYP+DCLPAG+DCLFLD+CPY+VAT	No
DCLVATSPA  	DVS	DVS0	TAXTYP+TYP+NUM+VAT+REGTYP	No
DCLVATSPA  	DVS	DVS1	CRN	Yes
DCLVATSPA  	DVS	DVS2	EECNUM	Yes
DCLVATSPA  	DVS	DVS3	TAXTYP+DCLDAT	Yes
DCLVATSPA  	DVS	DVS4	INDLNK	Yes
DCLVATSPA  	DVS	DVS5	TAXTYP+CRN+TYP+NUM	Yes
DCLVATSPA  	DVS	DVS6	COD347+CRN	Yes
DCLVATSPA  	DVS	DVS7	ACCNUM	Yes
DEB  	DEB	DEB0	CPY+DEBDAT+FLO+VCRTYP+VCRNUM+VCRLIN	No
DEB  	DEB	DEB1	CPY+VCRTYP+VCRNUM+VCRLIN+FLO	Yes
DEB  	DEB	DEB2	CPY+DEBDAT+FLO+DEBLIN	No
DEBPAR  	DER	DER0	EECNUMDEB	No
DEBREGNAT  	DRN	DRN0	LEG+CRY+GRP+MVT	No
DEFVAL  	DVA	DVA0	OBC+PARAM	No
DEPREC  	DEP	DEP0	AASREF+DPRPLN+FIYENDDAT+PERENDDAT	No
DEPREC  	DEP	DEP2	DPM+CPY	Yes
DEPREC  	DEP	DEP3	CPY+DPRPLN+AASREF+FIYENDDAT+PERENDDAT	No
DEPREC  	DEP	DEP5	AASREF+DPRPLN+FIYENDDAT+PERSTRDAT	No
DEPREC  	DEP	DEP6	DEPSTA+CPY+CNX+FIYENDDAT+PERENDDAT	Yes
DEPREC  	DEP	DEP7	FLGDEV+CPY+CNX+FIYENDDAT+PERENDDAT+DPRPLN	Yes
DEPREC  	DEP	DEP8	CPY+FLGLNKDEV+CNX+FIYENDDAT+PERENDDAT	Yes
DEPREC  	DEP	DEP9	CPY+DPRPLN+FLGPSTLNK+FIYENDDAT+PERENDDAT	Yes
DEPREC  	DEP	DEPA	CPY+DPRPLN+PERSTRDAT+PERENDDAT+FLGDEV	Yes
DEPRECARC  	DEA	DEP0	AASREF+DPRPLN+EVT+TIMSTP+FIYENDDAT+PERENDDAT	No
DEPSIMU  	DPS	DPS0	AASREF+DPRPLN+FIYENDDAT+PERSTRDAT	No
DEPSIMU  	DPS	DPS1	CPY+CNX	Yes
DIAHOU  	DIH	DIH0	NUM	No
DIETRS  	DTR	DTR0	ABRFIC+DTRTYP+DTRNUM+DTRTNU+DTRLIN	No
DIETRS  	DTR	DTR1	ABRFIC+DTRTYP+DTRNUM+DTRTNU+DIE	No
DIETRSXX  	DTX	DTR0	ABRFIC+DTRTYP+DTRNUM+DTRTNU+DTRLIN	No
DKSDATA  	DKD	DKD0	KEYCODE+DOCTYP+DOCNUM	No
DKSDATA  	DKD	DKD1	KEYCODE+DKSDOCNUM	Yes
DKSDATAFRA  	DKF	DKF0	KEYCODE+ORIDOC+DOCTYP+DOCNUM+LIN	No
DKSDATAPOR  	DKP	DKP0	KEYCODE+ORIDOC+DOCTYP+DOCNUM+LIN	No
DKSJAV  	DKJ	DKJ0	KEYCODE	No
DKSKEY  	DKK	DKK0	KEYCODE+KEYVER	No
DKSLOG  	DKL	DKL0	KEYCODE+DOCTYP+DOCNUM	No
DMWBPREXC  	DMWBPE	DMWBPE0	BPR+SCMCOD	No
DMWPAORD  	DMWPAOR	DMWPAORD0	COD+TYP+TYPID	No
DMWPAORD  	DMWPAOR	DMWPAORD1	COD+TYP	Yes
DMWPRODPACKD  	DMWPPAD	DMWPPAH0	PKGNUM+LIN	No
DMWPRODPACKH  	DMWPPAH	DMWPPAH0	PKGNUM+SCMCOD+ITMREF	No
DMWPRODPACKH  	DMWPPAH	DMWPPAH1	SCMCOD+ITMREF	No
DMWQTY  	DMWQTY	DMWQTY0	SCMCOD+STOFCY+ITMREF+IPTDAT+MVTSEQ+MVTIND	No
DMWQTY  	DMWQTY	DMWQTY1	SCMCOD+VCRNUM	Yes
DMWQUOTAD  	DMWQUOD	DMWQUOD0	QUOTANUM+LIN	No
DMWQUOTAH  	DMWQUOH	DMWQUOH0	QUOTANUM+SCMCOD+ITMGRP	No
DMWQUOTAH  	DMWQUOH	DMWQUOH1	SCMCOD+ITMGRP	No
DMWSCHEME  	DMWSC	DMWSC0	COD	No
DMWWEIGHT  	DMWWEI	DMWWEI0	SCMCOD+ITMREF+VCRNUM	Yes
DNODEBNOT  	DNO	DNO0	TYP+NUM+LIG+DUDLIG+NUMD	No
DNODEBNOT  	DNO	DNO1	TYP+NUM+LIG+DUDLIG+DNONUM	No
DNODEBNOT  	DNO	DNO2	DNOTYP+DNONUM+DNOLIN	No
DOCSIINX3  	DSIID	DSIID0	CPY+TYPENV+GTE+VCRNUM+VCRLIN	No
DOOBPCINT  	DBI	DBI0	BPCNUM	No
DOOBPCLNK  	DBL	DBL0	DOONUM+BPCNUM	No
DOOBPCLNK  	DBL	DBL1	DOONUM	Yes
DOOBPCLNK  	DBL	DBL2	BPCNUM	Yes
DPRMOD  	DPM	DPM0	DPM+CPY	No
DPRMOD  	DPM	DPM1	STDDPMNUM	Yes
DPRMOD  	DPM	DPM2	DPRMODTYP+CPY+DPM	No
DPRMOD  	DPM	DPM3	STDDPM	No
DPRMODOPT  	DMO	DMO0	STDDPM+CPY+NUMDPM	No
DPRMODRAT  	DMR	DMR0	DPM+CPY+NUM	No
DUDLNK  	DLN	DLN0	NUM	No
DUDLNK  	DLN	DLN1	NUMDUD1+NUMDUD2	Yes
DUDLNK  	DLN	DLN2	NUMDUD2	Yes
ECCNEND  	E52	EVE0	REF+TIMSTP	No
ECCNEND  	E52	EVE1	REF+TIMSTPO+TIMSTP	No
ECCNEND  	E52	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
ECCNREV  	E51	EVE0	REF+TIMSTP	No
ECCNREV  	E51	EVE1	REF+TIMSTPO+TIMSTP	No
ECCNREV  	E51	EVE2	CPTFLG+DPRPLN+CPY+FCY+REF	Yes
ECCSTA  	ECS	ECS0	ITMREF+ECCVALMAJ	No
ECCSTA  	ECS	ECS1	ITMREF+ECCSTA-ECCVALMAJ	No
ECCVAL  	EVL	EVL1	ITMREF+ECCVALMAJ+ECCVALMIN+ECCTYP	No
ECCVAL  	EVL	EVL0	ITMREF+ECCSEQ+ECCTYP	No
EDIBPRCPY  	EBC	EBC0	BPRNUM+CPY+PARCOD	No
EDIBPRCPYD  	EBCD	EBCD0	BPRNUM+CPY+PARCOD+NUMLIN	No
EDIBPRCPYD  	EBCD	EBCD1	BPRNUM+CPY+PARCOD+SORT	No
EDIBPRCPYD  	EBCD	EBCD2	BPRNUM+CPY+PARCOD+CATTYP+CATACT+CATOPE	No
EDIBPRCPYD  	EBCD	EBCD3	BPRNUM+CPY+PARCOD+CATCOD+CATACT	No
EDIBPRPAR  	EBP	EBP0	BPATYP+BPANUM+BPAADD+PARCOD	No
EDIBPRPAR  	EBP	EBP1	PARCOD+BPATYP+BPANUM+BPAADD	No
EDICAT  	ECA	ECA0	CATCOD	No
EDICATD  	ECAD	ECAD0	CATCOD+NUMLIN	No
EDICATD  	ECAD	ECAD1	CATCOD+SORT	No
EDICATK  	ECAK	ECAK0	CATCOD+NUMLIN	No
EDICATK  	ECAK	ECAK1	CATCOD+SORT	No
EDICATK  	ECAK	ECAK2	CATCOD+CODE	No
EDICATL  	ECAL	ECAL0	CATCOD+NUMLIN	No
EDICATL  	ECAL	ECAL1	CATCOD+SORT	No
EDICATL  	ECAL	ECAL2	CATCOD+CODE	No
EDICATREF  	ECR	ECR0	CATTYP+CATTRGTAB	No
EDICPYPAR  	ECP	ECP0	CPY+PARCOD	No
EDICPYPARD  	ECPD	ECPD0	CPY+PARCOD+LIG	No
EDICPYPARD  	ECPD	ECPD1	CPY+PARCOD+SORT	No
EDICPYPARFLO  	ECPDF	ECPDF0	CPY+PARCOD+NUMLIN	No
EDICPYPARFLO  	ECPDF	ECPDF1	CPY+PARCOD+SORT	No
EDICPYPARFLO  	ECPDF	ECPDF2	CPY+PARCOD+CATTYP+CATACT+CATOPE	No
EDICPYPARFLO  	ECPDF	ECPDF3	CPY+PARCOD+CATCOD+CATACT	No
EDIDEB  	EDB	EDB0	CPY+DEBYEAR+DEBMONTH+NBDEC	No
EDIFCYPAR  	EFP	EFP0	FCY+PARCOD	No
EDIFLO  	EFL	EFL0	FLOCOD+FLOREL	No
EDIFLOA  	EFLA	EFLA0	FLOCOD+FLOREL+NUMLIN	No
EDIFLOAP  	EFLAP	EFLP0	FLOCOD+FLOREL+NUMSEQ	No
EDIFLOD  	EFLD	EFLD0	FLOCOD+FLOREL+NUMLIN	No
EDIFLOD  	EFLD	EFLD1	FLOCOD+FLOREL+SORT	Yes
EDIFRM  	EDM	EDM0	MES+BAN+GRP+OCC+ORDNUM+SEG+SEGOCC+LIG	No
EDIMSG  	EMS	EMS0	MSGCOD+MSGREL	No
EDIMSGA  	EMSA	EMSA0	MSGCOD+MSGREL+NUMLIN	No
EDIMSGA  	EMSA	EMSA1	MSGCOD+MSGREL+SORT	No
EDIMSGA  	EMSA	EMSA2	MSGCOD+MSGREL+CODE	No
EDIMSGD  	EMSD	EMSD0	MSGCOD+MSGREL+NUMLIN	No
EDIMSGD  	EMSD	EMSD1	MSGCOD+MSGREL+SORT	Yes
EDIPAR  	EDP	EDP0	MES+BAN+GRP+ORDNUM	No
EDIPARTNER  	EPR	EPR0	PARCOD	No
EDIPARTNERD  	EPRD	EPRD0	PARCOD+NUMLIN	No
EDIPARTNERD  	EPRD	EPRD1	PARCOD+SORT	No
EDIPARTNERD  	EPRD	EPRD2	PARCOD+CATCOD+CATACT	No
EDIPARTNERD  	EPRD	EPRD3	PARCOD+CATTYP+CATOPE	Yes
EDIPTC  	EPT	EPT0	PTCCOD	No
EDIPTCD  	EPTD	EPTD0	PTCCOD+NUMLIN	No
EDIPTCD  	EPTD	EPTD1	PTCCOD+SORT	Yes
EDIPTCM  	EPTM	EPTM0	PTCCOD+NUMLIN	No
EDIRUN  	EDR	EDR0	NUM	No
EDIRUND  	EDRD	EDRD0	NUM+NUMLIN	No
EDIRUND  	EDRD	EDRD1	NUM+SORT	No
EDISEG  	EDS	EDS0	SEG+LIG	No
EDISEQFIL  	ESF	ESF0	MSGCOD+MSGREL+MSGFILNOR	No
EDISEQFILD  	ESFD	ESFD0	MSGCOD+MSGREL+MSGFILNOR+NUMLIN	No
EDISEQFILD  	ESFD	ESFD1	MSGCOD+MSGREL+MSGFILNOR+SORT	Yes
EDISEQFILF  	ESFF	ESFF0	MSGCOD+MSGREL+MSGFILNOR+NUMLIN	No
EDISEQFILF  	ESFF	ESFF1	MSGCOD+MSGREL+MSGFILNOR+SORT	Yes
EDISTO  	EST	EST0	NUMBATCH+KEYDOC	No
EDISTOC  	ESTC	ESTC0	NUMBATCH+KEYDOC+NUMLIN	No
EDISTOE  	ESTE	ESTE0	NUMBATCH+KEYDOC+NUMLIN	No
EDISTOE  	ESTE	ESTE1	NUMBATCH+KEYDOC+SORT	Yes
EDISTOF  	ESTF	ESTF0	NUMBATCH+KEYDOC+FLOCOD+FLOREL+NUMLIN	No
EDISTOF  	ESTF	ESTF1	NUMBATCH+KEYDOC+FLOCOD+FLOREL+SORT	Yes
EDISTOJ  	ESTJ	ESTJ0	NUMBATCH+KEYDOC+NUMLIN	No
EDISTOJ  	ESTJ	ESTJ1	NUMBATCH+KEYDOC+SORT	Yes
EDISTOU  	ESTU	ESTU0	NUMBATCH+KEYDOC+NUMLIN	No
EDISTOU  	ESTU	ESTU1	NUMBATCH+KEYDOC+SORT	Yes
EDISTOU  	ESTU	ESTU2	NUMBATCH+KEYDOC+CODE	No
EDITMPDOC  	ETC	ETC0	NUMBATCH+DOCID	No
EDITMPDOC  	ETC	ETC1	NUMBATCH+FLOCOD+FLOREL	Yes
EDITMPDOC  	ETC	ETC2	DOCID	No
EDITMPLOG  	EDL	EDL0	NUMBATCH+DOCID+CATTYP+SORT	No
EDITMPLOG  	EDL	EDL1	NUMBATCH	Yes
EDITMPLOG  	EDL	EDL2	DOCID	Yes
EDITMPLOG  	EDL	EDL3	NUMBATCH+DOCID+CATTYP+FLOSTP+SORT	No
EDITRBK  	EBK	EBK0	BAN+CHK+NUMLIN	No
EDITRBK  	EBK	EBK1	BAN+NUMLIN	No
EDITRKDOC  	EDK	EDK0	DOCID+CATTYP+NUMLIN	No
EDITRKDOC  	EDK	EDK1	FLOCOD+FLOREL+CPY+FCY+BPRNUM+BPAADD	Yes
EDITRKDOC  	EDK	EDK2	DOCID+CATTYP+FLOCOD+FLOREL	Yes
EDITRKDOC  	EDK	EDK3	FLOCOD+FLOREL+DOCID	Yes
EDIXMLFIL  	EXF	EXF0	MSGCOD+MSGREL+MSGFILNOR	No
EDIXMLFILD  	EXFD	EXFD0	MSGCOD+MSGREL+MSGFILNOR+NUMLIN	No
EDIXMLFILD  	EXFD	EXFD1	MSGCOD+MSGREL+MSGFILNOR+SORT	Yes
EDIXMLFILF  	EXFF	EXFF0	MSGCOD+MSGREL+MSGFILNOR+NUMLIN	No
EDIXMLFILF  	EXFF	EXFF1	MSGCOD+MSGREL+MSGFILNOR+SORT	No
EDIXMLFILP  	EXFP	EXFP0	MSGCOD+MSGREL+MSGFILNOR+PATHID	No
EDIXMLFILP  	EXFP	EXFP1	MSGCOD+MSGREL+MSGFILNOR+MD5	Yes
EDIXMLFILXSD  	EXSD	EXSD0	MSGCOD+MSGREL+MSGFILNOR+NUMLIN	No
EDIXMLFILXSD  	EXSD	EXSD1	MSGCOD+MSGREL+MSGFILNOR+SORT	No
EDIXSDUPL  	EXU	EXU0	CODE	No
