Table	Table Abbreviation	 Description
HRDSCFCY5	HRCFD	 Contributions détaillées du site DSN
HRDSCFCY6	HRCDF	 Contributions du site
HRDSCFCY7	HRCDD	 Détail de la contribution du site
HRDSCFCY8	HRCFC	 Composants du site DSN
HRDSFFCY	HRFFY	 Fiscalité du site DSN
HRDSFFCY2	HRFFP	 Fiscalité du site DSN
HRDSFFCY3	HRFFA	 Fiscalité du site DSN
HRDSNAMT	HRDCV	 Fin du contrat de paiement DSN
HRDSNAMT1	HRDCA	 Fin du contrat de rémunération DSN
HRDSNAMT2	HRDCD	 Fin du contrat de quotas DSN
HRDSNAMT3	HRDCU	 Fin du contrat d'activités DSN
HRDSNAMT4	HRDCB	 Revenu brut DSN de fin de contrat
HRDSNAYD	HRDAD	 Bénéficiaires de la DSN
HRDSNAYD2	HRDAF	 Allocataires de la DSN
HRDSNBNF	HRBNF	 Bénéficiaires de la DSN
HRDSNBNFORA	HRBNO	 Allocataires de la DSN
HRDSNCPY	HRDCP	 Entreprises DSN
HRDSNCPYCNT	HRCCN	 Entreprises DSN - Contacts
HRDSNCPYVLU	HRCPV	 Entreprises DSN
HRDSNCTR	HRDCC	 Contr. mettre fin aux données du contrat DSN
HRDSNDMC	HRDMC	 Contrats DSN mensuels
HRDSNDMC1	HRDMO	 DSN mensuelle/ancien contrat
HRDSNDMC2	HRDSS	 DSN/suspension mensuelle du contrat
HRDSNDMC3	HRDMR	 Historique mensuel du bien-être DSN
HRDSNDMT	HRDMT	 Cotisations mensuelles à la DSN
HRDSNDMT1	HRDMJ	 Cotisations mensuelles à la DSN
HRDSNDMT2	HRDMI	 Cotisations mensuelles à la DSN
HRDSNDMT3	HRDMK	 Cotisations mensuelles à la DSN
HRDSNDMT4	HRDME	 Cotisations mensuelles à la DSN
HRDSNDMT5	HRDML	 Cotisations mensuelles DSN BS
HRDSNDMV	HRDMV	 Paiements DSN mensuels
HRDSNDMV1	HRDMS	 Rémunérations mensuelles DSN
HRDSNDMV2	HRDMD	 Allocations DSN mensuelles
HRDSNDMV3	HRDMA	 Activités DSN mensuelles
HRDSNDMV4	HRDMB	 Revenu brut mensuel DSN
HRDSNDMV5	HRDMF	 Actions gratuites
HRDSNDMV6	HRDMG	 Les options d'achat d'actions
HRDSNDMV7	HRDMN	 BSPCE
HRDSNDMV8	HRDMP	 Ajustement DSN WHT
HRDSNEMP	HRDMM	 Employés DSN mensuels
HRDSNFCY	HRDFY	 Site DSN
HRDSNFCY2	HRDFV	 Bien-être du site DSN
HRDSNFCY3	HRDFA	 Anciennes données sociales du site DSN
HRDSNFCYN	HRNIL	 Site DSN nul
HRDSNFEE	HRFEE	 Bénéficiaires des frais
HRDSNFEED	HRFED	 Lignes de frais
HRDSNIND	HRIND	 Ancien salarié affilié
HRDSNINDBAS	HRINDB	 Bases spécifiques
HRDSNINDRIR	HRINDR	 Ajustements WHT
HRDSNLOG	HRLOG	 Tableau des erreurs DSN
HRDSNMTH	HRDMH	 Arrêts maladie des salariés de la DSN
HRDSNORA	HRDMW	 Affiliation sociale à la DSN
HRDSNPEN	HRDEP	 Conditions dangereuses DSN
HRDSNWST	HRDWS	 Arrêts maladie des salariés de la DSN
HRDSPDCS	HRDSC	 Déclaration de charges DSN
HRDSPPEX	HRDSE	 Configuration de l'extraction DSN
HRDSPPRM	HRDSR	 Configuration du DSN
HRDSPPRMCNT	HRDCN	 Configuration DSN - Contacts
HRDSPPRMVLU	HRDSV	 Configuration du DSN
HREFFTOT	HREFT	 Total
HREMPALO	EMPALO	 Allocation aux employés
HREMPDLC	HREDC	 Déclaration
HREQEEA2	HREEA2	 Détail EEE2
HREQEEA4	HREEA4	 Détail de l'EEE4
HREQEXCLEMP	HREXCL	 Salariés exclus
HREQNUMDET	HREQDET	 Objectifs chiffrés d’équité
HREQNUMGOAL	HREQGOA	 Objectifs chiffrés d’équité
HREQUITY	HREQTY	 Extrait de capitaux propres
HREQUITYTOT	HREQ	 Informations sur les capitaux propres
HRESSATT	HRET	 Pièces jointes
HRESUB	HRESUB	 Soumission électronique
HRESUBREG	ESUBREG	 Inscription à la soumission électronique
HRETIHIS	HRETI	 Historique de l'ETI
HRETIHISOLD	HRETIO	 Historique ETI ancien
HREXPENSES	HREXS	 Coût
HREXSKMETRE	HREXK	 Frais kilométriques
HREXTRACT	HREXT	 Extraire le modèle
HREXTRACTDAT	HREXD	 Source
HREXTRACTDEF	HREXL	 Définition
HREXTRACTFIL	HREXF	 Filtres
HREXTRACTGRP	HREXG	 Groupes
HREXTRACTPAR	HREXP	 Paramètres
HREXTRACTRES	HREXR	 Résultats
HREXTRACTVAL	HREXV	 Validations
HRFACILITYPO	FCYPO	 Des sites
HRFACILITYSA	FCYSA	 Champs du site sud-africain
HRFILDSN	HRDFS	 Structure du fichier DSN
HRFILTDS	HRFTD	 Structure du fichier DADS-U/ADN
HRFISCALNAT	HRFCN	 Caractère fiscal
HRFRMPAY	HRFRM	 Bulletins de versement
HRGRPRUB	HRGRB	 Regroupement de rubriques
HRHONLIN	HRHLN	 Lignes de frais
HRHONPRV	HRPRV	 Fournisseurs de services
HRINCDLC	HRIDC	 Déclaration de revenus
HRITAXEXT	HRITAX	 Extrait fiscal
HRITAXRES	HRITXR	 Résultats de l'extrait d'impôt
HRKENRPT	HRKNVAL	 Tableau des touches d'impression temporaire
HRLDETAILS	HRLDET	 Détails du prêt
HRLGENPAY	HRLGPP	 Générer un versement de prêt
HRLHEADER	HRLHEA	 En-tête du prêt
HRLICAUT	HRLIC	 Permis et autorisations
HRLOAADDPAY	HRLADP	 Paiements supplémentaires
HRLOAAMO	HRLAMO	 Prêt (amortissement)
HRLOAEMPHEA	HRLEHEA	 Informations de paiement
HRLOAEMPTOT	HRLETOT	 Informations de paiement
HRLOARAT	HRLRAT	 Taux standards de prêt
HRLOARATHEA	HRLRATH	 Taux standards de prêt
HRLOASETHEA	HRLSHEA	 Informations de paiement
HRLOASETTOT	HRLSTOT	 Informations de paiement
HRLOASUSPEND	HRLSPD	 Paramètre de suspension de prêt
HRLOATYP	HRLTYP	 Type de prêt
HRLREQAMO	HRLLRA	 Demande de prêt (amortissement)
HRLREQDET	HRLLRD	 Demande de prêt (détails)
HRLREQUEST	HRLLR	 Demande de prêt
HRLSETTING	HRLSET	 Configuration du prêt
HRLSETVAR	HRLSLV	 Configuration des variables de prêt
HRLSTPMT	HRLOP	 Paiements
HRLVEACCRU	HRACCR	 Accumulation de congés
HRLVEBAL	HRLBAL	 Laisser le solde
HRLVEBALDET	HRLBALD	 Laisser le détail du solde
HRLVERAT	HRPRAT	#VALEUR!
HRLVEREA	HRLSE	 Laisser raison
HRLVESUBDET	HRLSTD	 Laisser le sous-type
HRLVESUBHEA	HRLSTH	 Laisser le sous-type
HRMEDAPT	HRMDP	 Capacité
HRMEDTYP	HRMDT	 Type de visite
HRMGTDSN	HRMDM	 Gestion des données DSN
HRMISCTAB	HRMISC	 Écran divers
HRNATCON	HRNCT	 Nature du contrat
HRNUMORDDSN	HRDNO	 Numéro de commande DSN
HROIDRPT	HROID	 Tableau des touches d'impression temporaire
HRPARVAREXP	HRPVE	 Variables à configurer
HRPASR	HRPASR	 Ajustements WHT
HRPAYTMP	HRPYE	 Paiements à comptabiliser
HRPENINDD	HRPID	 Danger individuel. cond. enregistrer
HRPENINDH	HRPIH	 Danger individuel. cond. enregistrer
HRPEODET	HRPEOD	 Périodes d'extraction
HRPEOHEA	HRPEOH	 Périodes d'extraction
HRPERFORM	HRPERF	 Performance
HRPOTPEN	HRPEN	 Positionner des conditions dangereuses
HRRPLREN	HRRPL	 Raison du remplacement
HRSAEQU	SAEQU	 Équité en matière d'emploi
HRSCPCPIO	HRCPC	 Priorité aux compétences stratégiques
HRSCRDSND	HRSDDT	 Écrans de contrôle DSN - Détail
HRSCRDSNH	HRSDH	 Écrans de contrôle DSN
HRSOCSECINC1	HRSIA	 Enregistrement
HRSOCSECINC2	HRSIB	 Enregistrement
HRSOCSECSET1	HRSSA	 Déclaration
HRSOCSECSET2	HRSSB	 Enregistrement
HRSOCSECSET3	HRSSC	 Enregistrement
HRSOCSECSETS	HRSSS	 Enregistrement
HRSOFOCOD	HROFO	 Code OFO
HRSOFOSET	HROFOS	 Code OFO
HRSTADCLBEN	HRSDB	 Bénéficiaire
HRSTADCLBSP	HRSBP	 Déclaration
HRSTADCLDOC	HRSDO	 Étudiant en médecine
HRSTADCLSET	HRSDS	 Déclaration
HRSTADCLTRA	HRSDT	 Stagiaire
HRSTADLM	HRSDM	 Exportations légales
HRSTDINDCLS	HRSIC	 Norme. classification industrielle
HRSTRAINPER	HRTPER	 Les périodes de formation ajouter des informations
HRSTRIKE	HRSTRK	 Grève
HRSTRIKEDAT	HRSTRD	 Dates de grève
HRSTRIKEREV	HRSTRV	 Réclamations
HRSYSUSED	HRSUS	 Système
HRTABDSD	HRDSD	 Correspondances des codes DSN
HRTABDSH	HRDSH	 Correspondances des codes DSN
HRTABEXPENS	HRTES	 Codes de dépenses
HRTABFILBAN	HRTFB	 Définitions des fichiers bancaires
HRTASSEDICSA	HRATSSA	 Attestation Pôle Emploi
HRTAXCERT	HRTXCT	 Attestation fiscale SA
HRTAXCERTDED	HRTXCTD	 Déductions
HRTAXCERTINC	HRTXCTI	 Revenu reçu
HRTAXCERTSUB	HRTXCTS	 Impôt retenu
HRTAXEXT	HRTAX	 Extrait fiscal
HRTAXMSG	HRMSG	 Messages fiscaux
HRTAXRES	HRTXRES	 Résultats de l'extrait fiscal
HRTAXVAL	HRTXVAL	 Validation des extraits fiscaux
HRTMPDSD	HRTDSD	 Correspondances des codes DSN
HRTOTPAY	HRTPY	 Total
HRTRACSTREP	HRTCR	 Répartition des coûts de formation
HRTRADECLASS	HRTCC	 Classement des métiers
HRUKCTRCAR	CTCA	 Avantages automobiles des employés
HRUKCTRPEN	CTRPEN	 Pension des employés
HRUKCTRSTA	CTRSTA	 Statut de pension des employés
HRVIEWPARAMS	HRVP	 Afficher les paramètres
HRXITGRD	HRXGD	 Raison de l'élimination
HTMMAITXT	HTMMAI	 Texte de l'e-mail CRM
IDADDNA	IDN	 Importation des employés DN-AC
IDADDNA2	ID2	 Bonus d'importation d'ADN
IDADDNA3	ID3	 Allocations mensuelles d'importation d'ADN
IDADDNA4	ID4	 Avis d’importation d’ADN
IDADDNA5	ID5	 Allocations d’importation d’ADN
IDADDNA6	ID6	 Importation d'ADN Horaires de travail
IDADDNA7	ID7	 Importation d'ADN
IDADDNA8	ID8	 Importation d'ADN Divertissement
IDADEMP	IDA	 Déclaration annuelle d'importation des données des salariés
IDADEMP10	IDL	 Déclaration annuelle des données sur les salariés et prévisionnelle des métiers et des compétences
IDADEMP11	IDM	 Importation des heures supplémentaires DADS-U
IDADEMP12	IDQ	 Importation des demandes d'aide sociale DADS-U
IDADEMP121	IDE	 Déclaration annuelle d'importation des données sociales des salariés
IDADEMP2	IDS	 Déclaration annuelle d'importation des données des salariés
IDADEMP3	HRIDP	 Déclaration annuelle d'importation des données sociales des salariés
IDADEMP31	IDF	 Importation de bien-être pour les événements DADS-U
IDADEMP32	IDR	 Importation de prestations sociales de paiement DADS-U
IDADEMP33	IDU	 Importation de complémentaire santé DADS-U
IDADEMP34	IDV	 DADS-U évènementiel complémentaire santé import
IDADEMP35	IDW	 DADS-U paiement complémentaire santé import
IDADEMP4	IDC	 Déclaration annuelle d'importation des données des salariés
IDADEMP5	IDG	 Importation d'épargne DADS-U
IDADEMP6	IDH	 Import de parts DADS-U
IDADEMP7	IDI	 Importation des avantages DADS-U
IDADEMP8	IDJ	 Importation des exemptions DADS-U
IDADEMP9	IDK	 Import de quotas DADS-U
IDTCCE	IDTC	 Indice des dimensions
ILOGIMG	ILO	 Images ilog
IMCDETPRT	IMP	 Comparaison des coûts
IMURANO	IPM	 Configuration de l'interface de paie espagnole
IMURANOD	IPMD	 Configuration de l'interface de paie espagnole
INCDCL	INC	 Déclaration de revenus
INCOTERM	ICTH	 Incoterms
INCOTERMD	ICTD	 Détail des Incoterms
INSCRIPT	INS	 Inscriptions
INSJOU	INJ	 Jours d'inscription
INSJOUA	INA	 Jours d'absence
INTCOFLO	ICF	 Opérations intersociétés
INTERVEN	ITN	 Réponse du service
INVDACPAR	IDP	 Paramètres de saisie des factures tiers
INVENTD	INVD	 Comptes
INVENTH	INV	 Comptes
INVNUMSPA	ISP	 Document source
IRCTCODPOR	HRIRCT	 Code IRCT
IRP5RECONADD	IRPRECA	#VALEUR!
IRP5RECONRES	IRPREC	#VALEUR!
IRP5RECONVIS	IRPVIS	#VALEUR!
ITCDET	ICD	 Coût détaillé pour l'impression
ITCDETPRT	ICP	 Produits temporaires - coût
ITCMAT	ICC	 Produits temporaires - coût
ITCMATCH	IMC	 Comparaison des coûts
ITCNAT	ICN	 Détail nature - coûts
ITCPITTMP	ITCT	 Produits-coûts PIT
ITCWST	IWC	 Produits temporaires - coût
ITCWSTW	IWW	 Produits temporaires - coût
ITMABCWRK	ITK	 Calcul de la classe ABC
ITMACGGRP	ITA	 Produit
ITMBOM	ITB	 Produits - Nomenclatures
ITMBOMCFG	CFB	 Produits - Nomenclatures
ITMBPC	ITU	 Produit client
ITMBPS	ITP	 Produit fournisseur
ITMBPSFCY	ITPF	 Site de produits du fournisseur
ITMCATEG	ITG	 Catégorie de produit
ITMCOMP	ICM	 Produits concurrents
ITMCOST	ITC	 Produits-coûts
ITMCOSTPIT	ITCP	 Produits-coûts PIT
ITMCPPLNK	ILK	 Lien concurrent/produit
ITMCPTVER	ICV	 Configuration du compteur de versions
ITMCUSNOM	INO	 Nomenclature du produit NC8
ITMFACILIT	ITF	 Produits-sites
ITMMASTER	ITM	 Des produits
ITMMVT	ITV	 Totaux produit-site
ITMMVTHIS	ITH	 Produit total – historique du site
ITMMVTPIT	ITVP	 Totaux produit-site PIT
ITMSALES	ITS	 Produits - ventes
ITMWRH	ITW	 Produits-entrepôts
ITVPITTMP	ITVT	 Totaux produit-site PIT
JOBTYP	JOT	 Emplois standards
JOBTYPDEF	JOD	 Valeurs par défaut du type de travail
JOBTYPKSA	JSA	 Champs RSA supplémentaires
JSNX3DET	JXD	 Détail de la carte de transformation JSON-X3
JSNX3HEAD	JXH	 Mappeur de transformation JSON-X3
JSNX3TRAN	JXT	 Transport JSON-X3
KCOEF	KCO	 Coefficients de perte de valeur
KPYIMPDTL	KPD	 Détail de la paie Sage 50/Murano
KPYIMPDTLA	KPA	 Ligne analytique
KPYIMPHDR	KPH	 En-tête de paie Sage 50/Murano
KPYIMPTRAN	KPT	 Transcription d'importation Sage 50
KTEMPPOR	KTP	 Listes portugaises temporaires
LABADCPRINT	LAP	 Configuration des étiquettes
LABELPRN	LBP	 Impression d'étiquettes
LASTCUSMVT	LCM	 Derniers mouvements clients
LASTSUPMVT	LSM	 Derniers mouvements fournisseurs
LAYOUTFAS	LOF	 Dépenses
LEABILBOOK	LBB	 Calendriers des contrats de location
LEAD	LDS	 Conduit
LEASE	LEA	 Contrats de location
LEGOBGSET	HRLOS	 Paramétrage des obligations légales
LEGOBGSETD	HRLOD	 Paramétrage des obligations légales
LIVREPAYE	LPA	 Journaux de paie
LNKCPTABD	LCD	 Détail du lien ABELX3 acc
LNKCPTABX3	LCA	 Lien acc ABELX3
LPN	LPN	 Numéro de plaque d'immatriculation
LTAPAR	LTP	 Connexion à la taxe de vente Sage
LTAVCR	LTV	 Taxe locale par document de vente
MACHINES	MAC	 Base installée
MACITN	MAI	 Installations de machines
MACWARREQ	MWR	 Archives des demandes de garantie
MAILING	OMM	 Envoi de masse
MAILXML	MXL	 Envoi de masse XML
MAILXMLD	MXD	 Lignes de publipostage XML
MALADIE	MAL	 Certificat de maladie/Maternité
MANDATE	MDT	 Mandats
MARASSDEF	MAD	 Contenu des secteurs
MARASSREP	MAR	 Portefeuille représentatif
MARDEF	MDF	 Définitions des secteurs
MARDEFVAL	MDV	 Détails des critères
MARREPSEC	MRS	 Répartition des secteurs
MARSCT	MST	 Secteurs du marché
MATCHCODE	MTC	 Associez les lettres à utiliser
MATCHTOL	MAT	 Tolérance correspondante
MATCSTW	MAW	 Calcul du matériau
MAXBUILD	MAXB	 Quantité maximale de construction
MDL10	M10H	 Modèle 10
MDL10D	M10D	 Modèle 10
MDL30	M30H	 Modèle 30
MDL30D	M30D	 Modèle 30
MEAEMP	MEA	 Attestation mensuelle de l'employeur
MEDIA	OMN	 Campagne médiatique
MEDWRK	MEW	 Santé au travail
MEMFOR	FOG	 Mémos
MESPAR	MPA	 Configuration du MES
MFCDETPRT	MCP	 Détail du matériau
MFCMAT	MCC	 Détail du matériau
MFCNAT	MCN	 Détail nature - PC
MFCSCRAP	MCS	 Coût de la ferraille
MFCTYPREL	MTR	 Comparaison des coûts
MFCWST	MCW	 Détail de l'opération
MFGANL	MFA	 Analyse du bon de commande
MFGCOST	MFC	 Prix ??de revient
MFGHEAD	MFG	 Bon de travail - en-tête
MFGHEADTRK	MTK	 Suivi de fabrication - en-tête
MFGITM	MFI	 Bons de travail - produits
MFGITMTRK	MKI	 Suivi de fabrication - produits
MFGMAT	MFM	 Bon de travail - matériaux
MFGMATREV	MMR	 Bon de travail - audit des matériaux
MFGMATTRK	MKM	 Suivi de fabrication - matériel
MFGOPE	MFO	 Bon de travail - opérations
MFGOPEREV	MOR	 Bon de travail - audit des opérations
MFGOPETRK	MKO	 Suivi de fabrication - opérati
MFGPRN	MFP	 Bons de travail - documents
MFGSERDET	MFSD	 WO - numéro de série. détail du lien
MFGSERHDR	MFSH	 WO - numéro de série. en-tête du lien
MFGTRS	MTS	 Transaction d'entrée en production
MFGVERSION	MFV	 Changement de version MFG
MFGWIP	MWH	 Valorisation des encours - en-tête
MGTATCUD	ATCUD	 Gestion des ATCUD
MGTWASTE	MGTW	 La gestion des déchets
MIGX	MIGX	 Personnes X3 - Migration
MIGXTBLCMP	MIGXTCP	 En-tête de comparaison du tableau de migration
MIGXTBLDIF	MIGXTDF	 Différence de schéma de table de migration
MIGXTBLMAP	MIGXTM	 Mappage de la table de migration
MISIND	MID	 Indicateur de responsabilité
MISJOTIND	MJI	 Responsabilité
MISPOTIND	MPI	 Responsabilité
MISSION	MIS	 Rôle
MKGLEVEL	MKL	 Niveau
MKGOPG	MOG	 Relations cible/opérations
MKGQUR	MQR	 Cibles marketing
MKGQURPPL	MQP	 Populations intermédiaires
MMSDEFVAL	MMV	 Valeurs par défaut des MMS
MMSPAR	MMS	 Configuration MMS
MODSCALE	MODL	 Modèles de balance
MOTENT	MOE	 Raison d'arrivée
MSCALR	MSC	 Rubriques à calculer
MSENTEML	MHE	 Hypothèse d’arrivée des employés TP
MSFLDATM	HRMFA	 Champ initialisé pour RTP
MSGGRIL	MRI	 Grilles d'entrée TP
MSGRIL	MGR	 Grilles d'entrée TP
MSHISTO	MHS	 Historique des TP
MSHISTOH	MHH	 Suivi de l'historique TP
MSHYPENP	MHP	 Hypothèse des elts non permanents
MSHYPRUB	MHR	 Hypothèse de titre
MSHYPTXAT	MHT	 Hypothèse du taux WI
MSHYPVAD	MHD	 Hypothèses variables
MSHYPVAH	MHV	 Hypothèses variables
MSHYPVAL	MHL	 Hypothèses variables
MSLIVREPAY	LPM	 Total des journaux de paie
MSLRUB	MLR	 Liste des rubriques TP
MSMODCTR	MHC	 Hypothèses de modification du contrat
MSRUB	MSR	 Rubriques TP
MSSCENAH	MCH	 Scénario
MSSCENAL	MCL	 Scénario
MSVALEUR	MHA	 Historique des valeurs variables TP
MSXITEML	MHX	 Hypothèse de départ des employés de TP
MTCAUTO	MTU	 Correspondance automatique
MTCBATCH	MTB	 Correspondance par lots
MTCGAUTMP	MGT	 Préparation du rapprochement des documents
MTHTAXDCL	MTDH	 Déclaration mensuelle PAYE
MTHTAXDCLD	MTDD	 Déclaration mensuelle PAYE
MTKCRDASW	MTA	 Fiches techniques - réponses
MTOHEAD	MTO	 Réseau MTO
MTOLINK	MLK	 Affectations de demande/ressource
MWMCRDASW	MWA	 Procédures en cabine - Réponses
N4DSTABD	N4D	 Correspondances des codes N4DS
N4DSTABH	N4H	 Correspondances des codes N4DS
NAMETXTEMP	ETX	 IMPÔT mensuel des employés en Namibie
NATACTIV	NAT	 Natures de l'activité
NCSADES	NCSADE	 Description de la non-conformité
NCSAPPROVER	NCSAPPR	 Approbateurs de non-conformité
NCSBPC	NCSBPC	 Clients
NCSBPS	NCSBPS	 Fournisseurs
NCSDES	NCSDES	 Description de la non-conformité
NCSDOCHDR	NCSDHD	 Documents de non-conformité
NCSDOCLIN	NCSDLN	 Documents de non-conformité
NCSDOCOPE	NCSDOP	 Informations sur les opérations de non-conformité
NCSEXTUSR	NCSEU	 Utilisateur externe
NCSINTUSR	NCSIU	 Les utilisateurs internes
NCSRECENT	NCSRC	 Non-conformité
NCSREJDES	NCSREJ	 Description du rejet
NETAUTO	NTO	 Filets
NICDET	NIC	 Catégorie NI
NOTCATEG	NTG	 Catégorie de note
NOTE	NTS	 Remarques
NPICOMPONENT	NPIC	 Composants de conception de produits
NPICOMPREF	NPICREF	 Références de conception de produits
NPIHEADER	NPIH	 En-tête de conception de produit
NPIPWU	NPIW	 A été utilisé
NRYPAR	NRY	 Configuration ÉNERGIE
NUMCAI	NCA	 Mission CAI
OBJECTIFBI	OBI	 Objectifs BI
OCPCODPOR	HROCP	 Code des métiers
ODPAY	ODP	 MO de paie
ODPAYA	ODA	 MO de paie analytique
ODPAYE	ODE	 Payer l'en-tête MO
OMMRESULT	MRE	 Fusionner les données
OMMRPT	OMR	 Rapport d'envoi
OPERATIONS	OPS	 Chargement en cours
OPPOR	OPP	 Projet
OPPORCPP	OCP	 Concurrent du projet
OPPORCRM	OPPCRM	 Projet CRM
OPPORI	OPPI	 Projet
OPPORPJM	OPPPJM	 Projet PJM
OPPORPJMI	OPJI	 Projet
OPPORSBB	OBB	 Sous-projet
OPPORSTA	OSA	 Étapes après-vente du projet
OPPORSTB	OSB	 Étapes d'avant-vente du projet
ORDCOMP	DOO	 Appelant du service
ORDCOV	ORC	 Historique des considérations WIP
ORDERS	ORD	 En-cours
ORDOOPAR	ORO	 Configuration APS
ORDOPPAR	ORP	 Paramètres PRÉACTEUR
ORGAFFIL	ORA	 Adhésion à l'organisation
ORGANISME	ORG	 Organisations
ORGBAN	ORB	 Organisation
ORGFINTRA	OFT	 Organismes de financement de la formation
OVENAT	ONA	 Catégorie de frais généraux
OVERHEAD	OVE	 Codes aériens
PARADC	PDC	 Configuration de l'automatisation mobile
PARCOL	PAC	 Schéma DPS collectif
PARESC	PEC	 Paramètre d'escalade
PAREVT	PVT	 Paramétrage des événements
PAREVTD	PVD	 Paramétrage des événements
PARFLUX	PFL	 Paramètres des fonds (en-tête)
PARFLUXDET	PFD	 Paramètres des fonds (détail)
PARIND	PAI	 Distribution individuelle
PARJAL	PJA	 Paramètres de planification
PARLDAP	LDA	 Paramètre de lien entre les actifs de dépenses
PARMRP	PCB	 Paramètres des exigences
PARMTO	PTO	 Règles d'affectation
PARSTA1	PS1	 Déclencheurs statistiques
PARSTA2	PS2	 Paramètres statistiques
PARSTALIG	PSL	 Paramètres de ligne de rapport statistique
PARSTOACC	PAS	 Configuration de l'interface boursière
PARTAXUSA	PTU	 Paramètres fiscaux américains
PARTRZL	TZL	 Paramètres des champs de transit
PARTRZLDET	TZD	 Détails du paramètre Transit Flds
PARVAR	PVR	 Variables à configurer
PARVARAEM	PVA	 Variables à configurer
PARVARIND	PVI	 Variables à configurer
PARWIPACC	PWA	 Paramètre d'interface Wipcost
PARWIPACCS	SWA	 Paramètre d'interface Wipcost
PATCHPDP	HRPPP	 Suivi des correctifs du plan de paiement
PATCHPDPOBJ	PPO	 Suivi des correctifs du plan de paiement
PAYACCNUM	PAN	 Saisie comptable des paiements
PAYACCNUMD	PMD	 Saisie comptable des paiements
PAYFRM	FRM	 Bulletins de versement
PAYLOT	PYL	 Lot d'entrée
PAYMENTA	PYA	 Lignes de paiement analytiques
PAYMENTD	PYD	 Lignes de paiement
PAYMENTH	PYH	 En-tête de paiement
PAYMENTPORD	PYPTD	 Lignes de paiement
PAYMENTPORH	PYPTH	 En-tête de paiement
PAYMTCTMP	PMP	 Tableau temporaire de correspondance des paiements
PAYMTCTMP2	PM2	 Tableau temporaire de correspondance des paiements
PAYORDER	PYO	 Paiements anticipés
PAYPTD	PYP	 Lignes d'ordre de paiement/reçu
PAYPTH	PAH	 En-tête/reçus d'ordre de paiement
PAYPTHDOC	PAO	 Ordres de paiement/récépissés
PAYPTHRIT	PRI	 Retenues
PAYTMP	PTP	 Tableau des paiements temporaires
PAYVAT	PYHV	 TVA en espèces (Portugal)
PBDBPGRP	PBDBPG	 Raison économique/groupes BP
PBDBPGRPD	PBDBPD	 Raison économique/groupes BP
PBDCONFIG	PBDCNF	 Configuration du solde de paiement
PBDCONFIGD	PBDCNFD	 Configuration du solde de paiement
PBDECOCOD	PBDECO	 Code motif économique
PBDECODITM	PBDEIT	 Raison économique par produit
PBDGEN	PBDGEN	 Déclaration du solde des paiements
PBDGEND	PBDGEND	 Détails du solde de paiement
PBDUICONF	PBDUIC	 Paramètres du champ Solde des paiements
PBDUICONFD	PBDUID	 Lignes du champ Solde des paiements
PDPDET	PDD	 Détail du calcul MPS
PDPHEA	PDH	 En-tête de calcul MPS
PERIOD	PER	 Périodes
PFLCATCODPOR	HRPFL	 Chat professionnel.
PFOOTINV	PFI	 Éléments de facturation des achats
PHONECALL	CLL	 Appel
PHONING	OMP	 Campagne téléphonique
PHYBUI	BUI	 Bâtiment
PHYELT	PHY	 Actifs physiques
PHYLCT	LCT	 Localisations
PHYMVT	PMVT	 Actifs physiques - mouvements
PIHRMEMPSET	PIES	 Employé
PIHRMFAIR	PIFA	 Intégration des personnes
PIHRMFAIRCFG	PICF	 Intégration des personnes
PIHRMFAIRERR	PHFE	 Erreur
PIHRMFAIRSET	PIFS	 Intégration des personnes
PIMPL	PIM	 Lien du projet
PIMPLSEL	PIS	 Lignes d'allocation temporaires
PINVOICE	PIH	 Factures d'achat
PINVOICED	PID	 Détail de la facture d'achat
PINVOICEV	PIV	 Chiffrage des factures d'achat
PITCOUNT	PCT	 Compteur de points
PITDEB	PDB	 Débit de points
PITDEBD	PBD	 Débits de points (ligne)
PIVOTS	PIT	 Pivots
PIVZON	PIZ	 Zones pivots
PIWRK	PKW	 Traçabilité temporaire des journaux
PJMAFF	PAF	 Affectation des employés
PJMAUS	PAUS	 Utilisateurs du projet
PJMAUSCAVA	PJCV	 Variation de capacité PJM
PJMBUD	PJBU	 Budget du projet
PJMBUDI	PJBUI	 Budget du projet
PJMBUDLIG	PJLB	 Ligne budgétaire
PJMBUDLIGI	PJLBI	 Ligne budgétaire
PJMBUDTRQ	PJQ	 Requêtes d’aperçu financier
PJMBUDTRS	PJS	 Structure de l'aperçu financier
PJMCLOB	PJCB	 Dossiers spéciaux
PJMCNSVTETM1	VT1	 Vérification du temps
PJMCNSVTETM2	VT2	 Vérification du temps
PJMCNSVTETMP	VTE	 Vérification du temps
PJMCOSTCTR	PJCC	 Type de coût
PJMCOSTDAT	PCD	 Tarif à une date donnée
PJMCOSTGRP	PJCG	 Groupe de coûts
PJMDE	PJE	 Dépense détaillée
PJMFINCTORPT	PJMCTO	 Rapports sur les types de coûts
PJMFINOVRRPT	PJMRPT	 Rapports sur la structure des coûts
PJMMSTNEXINV	PJMST	 Prochaine étape de facturation
PJMOPEAFF	PJOA	 Affectation des employés
PJMOPEAFFI	PJOAI	 Affectation des employés
PJMOPSNPD	PJSNPD	 Détails de l'instantané du projet
PJMOPSNPH	PJSNPH	 Instantanés du projet
PJMPRGBILD	PBILD	 Lignes du plan de facturation progressive
PJMPRGBILH	PBILH	 Plan de facturation progressif
